country,geo,tier,tier_code,year,in_model,barrier,barrier_code,exposure_pct,tier_mean_pct,deviation_pp,coefficient,contribution_pp,actual_adoption_pct,expected_adoption_pct,gap_pp,unexplained_pp,tier_n_cells,tier_n_countries,tier_delta_r2,outcome_code,outcome_unit,exposure_unit,generated_utc,rank_in_unit,tier_ranking_stable
Denmark,DK,Large (250+),LARGE_GE250,2025,True,AI not useful for us,E_AI_BNU,13.9,12.0,1.9,1.3409,2.48,74.5,55.3,19.3,-5.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
Denmark,DK,Large (250+),LARGE_GE250,2025,True,Data availability or quality,E_AI_BDDT,42.0,44.7,-2.8,0.789,-2.2,74.5,55.3,19.3,-5.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
Denmark,DK,Large (250+),LARGE_GE250,2025,True,Privacy and data protection,E_AI_BCDP,59.8,55.5,4.3,0.3887,1.69,74.5,55.3,19.3,-5.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
Denmark,DK,Large (250+),LARGE_GE250,2025,True,Incompatible with existing systems,E_AI_BINC,35.8,42.9,-7.0,-0.1525,1.07,74.5,55.3,19.3,-5.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
Denmark,DK,Large (250+),LARGE_GE250,2025,True,Legal consequences unclear,E_AI_BLEG,45.1,47.6,-2.6,-0.2175,0.56,74.5,55.3,19.3,-5.0,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
European Union - 27 countries (from 2020),EU27_2020,Large (250+),LARGE_GE250,2025,False,Cost too high,E_AI_BCST,34.8,41.9,-7.1,-0.6743,4.8,55.0,55.3,-0.2,-3.39,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
European Union - 27 countries (from 2020),EU27_2020,Large (250+),LARGE_GE250,2025,False,AI not useful for us,E_AI_BNU,9.8,12.0,-2.2,1.3409,-3.0,55.0,55.3,-0.2,-3.39,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
European Union - 27 countries (from 2020),EU27_2020,Large (250+),LARGE_GE250,2025,False,Privacy and data protection,E_AI_BCDP,58.8,55.5,3.3,0.3887,1.28,55.0,55.3,-0.2,-3.39,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
European Union - 27 countries (from 2020),EU27_2020,Large (250+),LARGE_GE250,2025,False,Lack of expertise,E_AI_BLE,65.1,63.6,1.5,0.5916,0.87,55.0,55.3,-0.2,-3.39,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
European Union - 27 countries (from 2020),EU27_2020,Large (250+),LARGE_GE250,2025,False,Legal consequences unclear,E_AI_BLEG,51.2,47.6,3.6,-0.2175,-0.78,55.0,55.3,-0.2,-3.39,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
European Union - 27 countries (from 2020),EU27_2020,Large (250+),LARGE_GE250,2025,False,Data availability or quality,E_AI_BDDT,43.8,44.7,-0.9,0.789,-0.74,55.0,55.3,-0.2,-3.39,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
European Union - 27 countries (from 2020),EU27_2020,Large (250+),LARGE_GE250,2025,False,Incompatible with existing systems,E_AI_BINC,38.0,42.9,-4.9,-0.1525,0.74,55.0,55.3,-0.2,-3.39,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
Finland,FI,Large (250+),LARGE_GE250,2025,True,Cost too high,E_AI_BCST,22.9,41.9,-19.0,-0.6743,12.81,79.4,55.3,24.1,9.14,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
Finland,FI,Large (250+),LARGE_GE250,2025,True,Data availability or quality,E_AI_BDDT,58.0,44.7,13.2,0.789,10.43,79.4,55.3,24.1,9.14,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
Finland,FI,Large (250+),LARGE_GE250,2025,True,Lack of expertise,E_AI_BLE,51.8,63.6,-11.8,0.5916,-6.98,79.4,55.3,24.1,9.14,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
Finland,FI,Large (250+),LARGE_GE250,2025,True,AI not useful for us,E_AI_BNU,8.3,12.0,-3.7,1.3409,-5.03,79.4,55.3,24.1,9.14,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
Finland,FI,Large (250+),LARGE_GE250,2025,True,Privacy and data protection,E_AI_BCDP,68.3,55.5,12.8,0.3887,4.98,79.4,55.3,24.1,9.14,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
Finland,FI,Large (250+),LARGE_GE250,2025,True,Incompatible with existing systems,E_AI_BINC,48.9,42.9,6.1,-0.1525,-0.93,79.4,55.3,24.1,9.14,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
Finland,FI,Large (250+),LARGE_GE250,2025,True,Legal consequences unclear,E_AI_BLEG,48.8,47.6,1.2,-0.2175,-0.27,79.4,55.3,24.1,9.14,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
Greece,EL,Large (250+),LARGE_GE250,2025,True,Data availability or quality,E_AI_BDDT,55.1,44.7,10.3,0.789,8.15,37.6,55.3,-17.7,-16.72,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
Greece,EL,Large (250+),LARGE_GE250,2025,True,Cost too high,E_AI_BCST,49.3,41.9,7.4,-0.6743,-4.99,37.6,55.3,-17.7,-16.72,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
Greece,EL,Large (250+),LARGE_GE250,2025,True,AI not useful for us,E_AI_BNU,10.0,12.0,-2.1,1.3409,-2.76,37.6,55.3,-17.7,-16.72,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
Greece,EL,Large (250+),LARGE_GE250,2025,True,Legal consequences unclear,E_AI_BLEG,53.9,47.6,6.3,-0.2175,-1.36,37.6,55.3,-17.7,-16.72,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
Greece,EL,Large (250+),LARGE_GE250,2025,True,Privacy and data protection,E_AI_BCDP,58.1,55.5,2.6,0.3887,1.02,37.6,55.3,-17.7,-16.72,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
Greece,EL,Large (250+),LARGE_GE250,2025,True,Incompatible with existing systems,E_AI_BINC,47.8,42.9,4.9,-0.1525,-0.75,37.6,55.3,-17.7,-16.72,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
Greece,EL,Large (250+),LARGE_GE250,2025,True,Lack of expertise,E_AI_BLE,63.2,63.6,-0.4,0.5916,-0.26,37.6,55.3,-17.7,-16.72,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
Hungary,HU,Large (250+),LARGE_GE250,2025,True,Data availability or quality,E_AI_BDDT,37.2,44.7,-7.5,0.789,-5.93,40.0,55.3,-15.3,-6.65,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
Hungary,HU,Large (250+),LARGE_GE250,2025,True,Lack of expertise,E_AI_BLE,55.7,63.6,-7.9,0.5916,-4.69,40.0,55.3,-15.3,-6.65,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
Hungary,HU,Large (250+),LARGE_GE250,2025,True,Privacy and data protection,E_AI_BCDP,64.2,55.5,8.7,0.3887,3.38,40.0,55.3,-15.3,-6.65,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
Hungary,HU,Large (250+),LARGE_GE250,2025,True,Cost too high,E_AI_BCST,43.9,41.9,2.0,-0.6743,-1.33,40.0,55.3,-15.3,-6.65,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
Hungary,HU,Large (250+),LARGE_GE250,2025,True,Legal consequences unclear,E_AI_BLEG,50.7,47.6,3.1,-0.2175,-0.67,40.0,55.3,-15.3,-6.65,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
Hungary,HU,Large (250+),LARGE_GE250,2025,True,Incompatible with existing systems,E_AI_BINC,39.8,42.9,-3.0,-0.1525,0.46,40.0,55.3,-15.3,-6.65,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
Hungary,HU,Large (250+),LARGE_GE250,2025,True,AI not useful for us,E_AI_BNU,12.1,12.0,0.1,1.3409,0.16,40.0,55.3,-15.3,-6.65,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
Italy,IT,Large (250+),LARGE_GE250,2025,True,AI not useful for us,E_AI_BNU,8.0,12.0,-4.0,1.3409,-5.4,53.1,55.3,-2.2,8.05,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
Italy,IT,Large (250+),LARGE_GE250,2025,True,Lack of expertise,E_AI_BLE,55.8,63.6,-7.8,0.5916,-4.63,53.1,55.3,-2.2,8.05,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
Italy,IT,Large (250+),LARGE_GE250,2025,True,Cost too high,E_AI_BCST,37.1,41.9,-4.8,-0.6743,3.22,53.1,55.3,-2.2,8.05,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
Italy,IT,Large (250+),LARGE_GE250,2025,True,Privacy and data protection,E_AI_BCDP,47.5,55.5,-8.0,0.3887,-3.11,53.1,55.3,-2.2,8.05,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
Italy,IT,Large (250+),LARGE_GE250,2025,True,Data availability or quality,E_AI_BDDT,40.9,44.7,-3.8,0.789,-3.02,53.1,55.3,-2.2,8.05,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
Italy,IT,Large (250+),LARGE_GE250,2025,True,Legal consequences unclear,E_AI_BLEG,40.3,47.6,-7.3,-0.2175,1.59,53.1,55.3,-2.2,8.05,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
Italy,IT,Large (250+),LARGE_GE250,2025,True,Incompatible with existing systems,E_AI_BINC,35.3,42.9,-7.5,-0.1525,1.15,53.1,55.3,-2.2,8.05,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
Latvia,LV,Large (250+),LARGE_GE250,2025,True,Lack of expertise,E_AI_BLE,53.5,63.6,-10.1,0.5916,-6.0,47.1,55.3,-8.2,2.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
Latvia,LV,Large (250+),LARGE_GE250,2025,True,Cost too high,E_AI_BCST,48.8,41.9,6.9,-0.6743,-4.68,47.1,55.3,-8.2,2.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
Latvia,LV,Large (250+),LARGE_GE250,2025,True,Data availability or quality,E_AI_BDDT,39.5,44.7,-5.2,0.789,-4.11,47.1,55.3,-8.2,2.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
Latvia,LV,Large (250+),LARGE_GE250,2025,True,Legal consequences unclear,E_AI_BLEG,37.2,47.6,-10.4,-0.2175,2.26,47.1,55.3,-8.2,2.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
Latvia,LV,Large (250+),LARGE_GE250,2025,True,Privacy and data protection,E_AI_BCDP,60.5,55.5,5.0,0.3887,1.94,47.1,55.3,-8.2,2.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,5,True
Latvia,LV,Large (250+),LARGE_GE250,2025,True,Incompatible with existing systems,E_AI_BINC,39.5,42.9,-3.3,-0.1525,0.51,47.1,55.3,-8.2,2.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,6,True
Latvia,LV,Large (250+),LARGE_GE250,2025,True,AI not useful for us,E_AI_BNU,11.6,12.0,-0.4,1.3409,-0.51,47.1,55.3,-8.2,2.43,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,7,True
Luxembourg,LU,Large (250+),LARGE_GE250,2025,True,Data availability or quality,E_AI_BDDT,32.5,44.7,-12.3,0.789,-9.68,58.0,55.3,2.7,7.5,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,1,True
Luxembourg,LU,Large (250+),LARGE_GE250,2025,True,Lack of expertise,E_AI_BLE,75.1,63.6,11.5,0.5916,6.78,58.0,55.3,2.7,7.5,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,2,True
Luxembourg,LU,Large (250+),LARGE_GE250,2025,True,AI not useful for us,E_AI_BNU,8.7,12.0,-3.3,1.3409,-4.41,58.0,55.3,2.7,7.5,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,3,True
Luxembourg,LU,Large (250+),LARGE_GE250,2025,True,Incompatible with existing systems,E_AI_BINC,28.4,42.9,-14.4,-0.1525,2.2,58.0,55.3,2.7,7.5,21,21,0.813,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:54:16Z,4,True
