tier,tier_code,geo,year,barrier,barrier_code,exposure_pct,tier_mean_pct,deviation_pp,coefficient,contribution_pp,actual_adoption_pct,expected_adoption_pct,gap_pp,unexplained_pp
Large (250+),LARGE_GE250,BE,2025,AI not useful for us,E_AI_BNU,10.2,12.4,-2.2,0.3377,-0.74,76.4,56.7,19.7,12.95
Large (250+),LARGE_GE250,BG,2025,Privacy and data protection,E_AI_BCDP,47.2,41.5,5.7,-0.0912,-0.52,26.2,56.7,-30.5,-20.11
Large (250+),LARGE_GE250,BG,2025,Cost too high,E_AI_BCST,53.8,45.1,8.8,-0.4143,-3.63,26.2,56.7,-30.5,-20.11
Large (250+),LARGE_GE250,BG,2025,Data availability or quality,E_AI_BDDT,37.0,44.3,-7.3,0.3716,-2.72,26.2,56.7,-30.5,-20.11
Large (250+),LARGE_GE250,BG,2025,Incompatible with existing systems,E_AI_BINC,45.7,45.7,0.0,0.0758,0.0,26.2,56.7,-30.5,-20.11
Large (250+),LARGE_GE250,BG,2025,Lack of expertise,E_AI_BLE,61.9,62.9,-0.9,0.3877,-0.36,26.2,56.7,-30.5,-20.11
Large (250+),LARGE_GE250,BG,2025,Legal consequences unclear,E_AI_BLEG,51.8,38.2,13.6,-0.1717,-2.33,26.2,56.7,-30.5,-20.11
Large (250+),LARGE_GE250,BG,2025,AI not useful for us,E_AI_BNU,9.9,12.4,-2.5,0.3377,-0.85,26.2,56.7,-30.5,-20.11
Large (250+),LARGE_GE250,CY,2021,Privacy and data protection,E_AI_BCDP,15.2,41.5,-26.3,-0.0912,2.4,12.9,28.5,-15.5,2.81
Large (250+),LARGE_GE250,CY,2021,Cost too high,E_AI_BCST,45.6,45.1,0.5,-0.4143,-0.22,12.9,28.5,-15.5,2.81
Large (250+),LARGE_GE250,CY,2021,Data availability or quality,E_AI_BDDT,37.9,44.3,-6.4,0.3716,-2.39,12.9,28.5,-15.5,2.81
Large (250+),LARGE_GE250,CY,2021,Incompatible with existing systems,E_AI_BINC,36.4,45.7,-9.3,0.0758,-0.71,12.9,28.5,-15.5,2.81
Large (250+),LARGE_GE250,CY,2021,Lack of expertise,E_AI_BLE,21.2,62.9,-41.7,0.3877,-16.18,12.9,28.5,-15.5,2.81
Large (250+),LARGE_GE250,CY,2021,Legal consequences unclear,E_AI_BLEG,21.2,38.2,-17.0,-0.1717,2.93,12.9,28.5,-15.5,2.81
Large (250+),LARGE_GE250,CY,2021,AI not useful for us,E_AI_BNU,0.0,12.4,-12.4,0.3377,-4.18,12.9,28.5,-15.5,2.81
Large (250+),LARGE_GE250,CY,2023,Privacy and data protection,E_AI_BCDP,69.3,41.5,27.8,-0.0912,-2.54,15.5,28.8,-13.2,3.68
Large (250+),LARGE_GE250,CY,2023,Cost too high,E_AI_BCST,69.7,45.1,24.6,-0.4143,-10.2,15.5,28.8,-13.2,3.68
Large (250+),LARGE_GE250,CY,2023,Data availability or quality,E_AI_BDDT,62.7,44.3,18.4,0.3716,6.84,15.5,28.8,-13.2,3.68
Large (250+),LARGE_GE250,CY,2023,Incompatible with existing systems,E_AI_BINC,61.9,45.7,16.2,0.0758,1.23,15.5,28.8,-13.2,3.68
Large (250+),LARGE_GE250,CY,2023,Lack of expertise,E_AI_BLE,38.7,62.9,-24.2,0.3877,-9.38,15.5,28.8,-13.2,3.68
Large (250+),LARGE_GE250,CY,2023,Legal consequences unclear,E_AI_BLEG,61.4,38.2,23.2,-0.1717,-3.99,15.5,28.8,-13.2,3.68
Large (250+),LARGE_GE250,CY,2023,AI not useful for us,E_AI_BNU,15.6,12.4,3.3,0.3377,1.11,15.5,28.8,-13.2,3.68
Large (250+),LARGE_GE250,CY,2024,Privacy and data protection,E_AI_BCDP,46.7,41.5,5.2,-0.0912,-0.47,34.9,42.0,-7.1,15.18
Large (250+),LARGE_GE250,CY,2024,Cost too high,E_AI_BCST,73.3,45.1,28.3,-0.4143,-11.71,34.9,42.0,-7.1,15.18
Large (250+),LARGE_GE250,CY,2024,Data availability or quality,E_AI_BDDT,40.0,44.3,-4.3,0.3716,-1.6,34.9,42.0,-7.1,15.18
Large (250+),LARGE_GE250,CY,2024,Incompatible with existing systems,E_AI_BINC,86.7,45.7,41.0,0.0758,3.11,34.9,42.0,-7.1,15.18
Large (250+),LARGE_GE250,CY,2024,Lack of expertise,E_AI_BLE,53.3,62.9,-9.5,0.3877,-3.7,34.9,42.0,-7.1,15.18
Large (250+),LARGE_GE250,CY,2024,Legal consequences unclear,E_AI_BLEG,60.0,38.2,21.8,-0.1717,-3.74,34.9,42.0,-7.1,15.18
Large (250+),LARGE_GE250,CY,2024,AI not useful for us,E_AI_BNU,0.0,12.4,-12.4,0.3377,-4.18,34.9,42.0,-7.1,15.18
Large (250+),LARGE_GE250,CY,2025,Privacy and data protection,E_AI_BCDP,50.8,41.5,9.3,-0.0912,-0.85,35.1,56.7,-21.6,-16.02
Large (250+),LARGE_GE250,CY,2025,Cost too high,E_AI_BCST,36.8,45.1,-8.3,-0.4143,3.44,35.1,56.7,-21.6,-16.02
Large (250+),LARGE_GE250,CY,2025,Data availability or quality,E_AI_BDDT,45.6,44.3,1.3,0.3716,0.47,35.1,56.7,-21.6,-16.02
Large (250+),LARGE_GE250,CY,2025,Incompatible with existing systems,E_AI_BINC,68.5,45.7,22.8,0.0758,1.73,35.1,56.7,-21.6,-16.02
Large (250+),LARGE_GE250,CY,2025,Lack of expertise,E_AI_BLE,45.6,62.9,-17.3,0.3877,-6.71,35.1,56.7,-21.6,-16.02
Large (250+),LARGE_GE250,CY,2025,Legal consequences unclear,E_AI_BLEG,56.1,38.2,17.9,-0.1717,-3.07,35.1,56.7,-21.6,-16.02
Large (250+),LARGE_GE250,CY,2025,AI not useful for us,E_AI_BNU,10.5,12.4,-1.9,0.3377,-0.63,35.1,56.7,-21.6,-16.02
Large (250+),LARGE_GE250,DK,2024,Privacy and data protection,E_AI_BCDP,32.6,41.5,-8.9,-0.0912,0.81,63.4,42.0,21.4,14.76
Large (250+),LARGE_GE250,DK,2024,Cost too high,E_AI_BCST,23.2,45.1,-21.9,-0.4143,9.07,63.4,42.0,21.4,14.76
Large (250+),LARGE_GE250,DK,2024,Data availability or quality,E_AI_BDDT,29.7,44.3,-14.6,0.3716,-5.44,63.4,42.0,21.4,14.76
Large (250+),LARGE_GE250,DK,2024,Incompatible with existing systems,E_AI_BINC,28.0,45.7,-17.6,0.0758,-1.34,63.4,42.0,21.4,14.76
Large (250+),LARGE_GE250,DK,2024,Lack of expertise,E_AI_BLE,69.3,62.9,6.4,0.3877,2.5,63.4,42.0,21.4,14.76
Large (250+),LARGE_GE250,DK,2024,Legal consequences unclear,E_AI_BLEG,31.5,38.2,-6.7,-0.1717,1.14,63.4,42.0,21.4,14.76
Large (250+),LARGE_GE250,DK,2024,AI not useful for us,E_AI_BNU,12.0,12.4,-0.4,0.3377,-0.13,63.4,42.0,21.4,14.76
Large (250+),LARGE_GE250,DK,2025,Privacy and data protection,E_AI_BCDP,59.8,41.5,18.3,-0.0912,-1.67,74.5,56.7,17.8,7.23
Large (250+),LARGE_GE250,DK,2025,Cost too high,E_AI_BCST,19.9,45.1,-25.2,-0.4143,10.43,74.5,56.7,17.8,7.23
Large (250+),LARGE_GE250,DK,2025,Data availability or quality,E_AI_BDDT,42.0,44.3,-2.3,0.3716,-0.87,74.5,56.7,17.8,7.23
Large (250+),LARGE_GE250,DK,2025,Incompatible with existing systems,E_AI_BINC,35.8,45.7,-9.8,0.0758,-0.75,74.5,56.7,17.8,7.23
Large (250+),LARGE_GE250,DK,2025,Lack of expertise,E_AI_BLE,73.5,62.9,10.6,0.3877,4.11,74.5,56.7,17.8,7.23
Large (250+),LARGE_GE250,DK,2025,Legal consequences unclear,E_AI_BLEG,45.1,38.2,6.9,-0.1717,-1.18,74.5,56.7,17.8,7.23
Large (250+),LARGE_GE250,DK,2025,AI not useful for us,E_AI_BNU,13.9,12.4,1.5,0.3377,0.5,74.5,56.7,17.8,7.23
Large (250+),LARGE_GE250,EE,2021,Privacy and data protection,E_AI_BCDP,29.2,41.5,-12.3,-0.0912,1.12,21.2,28.5,-7.2,-5.92
Large (250+),LARGE_GE250,EE,2021,Cost too high,E_AI_BCST,62.5,45.1,17.4,-0.4143,-7.22,21.2,28.5,-7.2,-5.92
Large (250+),LARGE_GE250,EE,2021,Data availability or quality,E_AI_BDDT,45.8,44.3,1.5,0.3716,0.57,21.2,28.5,-7.2,-5.92
Large (250+),LARGE_GE250,EE,2021,Incompatible with existing systems,E_AI_BINC,62.5,45.7,16.8,0.0758,1.28,21.2,28.5,-7.2,-5.92
Large (250+),LARGE_GE250,EE,2021,Lack of expertise,E_AI_BLE,50.0,62.9,-12.9,0.3877,-4.99,21.2,28.5,-7.2,-5.92
Large (250+),LARGE_GE250,EE,2021,Legal consequences unclear,E_AI_BLEG,25.0,38.2,-13.2,-0.1717,2.27,21.2,28.5,-7.2,-5.92
Large (250+),LARGE_GE250,EE,2021,AI not useful for us,E_AI_BNU,29.2,12.4,16.8,0.3377,5.67,21.2,28.5,-7.2,-5.92
Large (250+),LARGE_GE250,EE,2023,Privacy and data protection,E_AI_BCDP,23.5,41.5,-17.9,-0.0912,1.64,23.0,28.8,-5.7,-1.15
Large (250+),LARGE_GE250,EE,2023,Cost too high,E_AI_BCST,47.1,45.1,2.0,-0.4143,-0.82,23.0,28.8,-5.7,-1.15
Large (250+),LARGE_GE250,EE,2023,Data availability or quality,E_AI_BDDT,41.2,44.3,-3.1,0.3716,-1.16,23.0,28.8,-5.7,-1.15
Large (250+),LARGE_GE250,EE,2023,Incompatible with existing systems,E_AI_BINC,52.9,45.7,7.3,0.0758,0.55,23.0,28.8,-5.7,-1.15
Large (250+),LARGE_GE250,EE,2023,Lack of expertise,E_AI_BLE,47.1,62.9,-15.8,0.3877,-6.13,23.0,28.8,-5.7,-1.15
Large (250+),LARGE_GE250,EE,2023,Legal consequences unclear,E_AI_BLEG,17.6,38.2,-20.5,-0.1717,3.53,23.0,28.8,-5.7,-1.15
Large (250+),LARGE_GE250,EE,2023,AI not useful for us,E_AI_BNU,5.9,12.4,-6.5,0.3377,-2.19,23.0,28.8,-5.7,-1.15
Large (250+),LARGE_GE250,EE,2024,Privacy and data protection,E_AI_BCDP,44.4,41.5,3.0,-0.0912,-0.27,39.0,42.0,-3.0,-5.4
Large (250+),LARGE_GE250,EE,2024,Cost too high,E_AI_BCST,33.3,45.1,-11.7,-0.4143,4.86,39.0,42.0,-3.0,-5.4
Large (250+),LARGE_GE250,EE,2024,Data availability or quality,E_AI_BDDT,33.3,44.3,-11.0,0.3716,-4.08,39.0,42.0,-3.0,-5.4
Large (250+),LARGE_GE250,EE,2024,Incompatible with existing systems,E_AI_BINC,22.2,45.7,-23.4,0.0758,-1.78,39.0,42.0,-3.0,-5.4
Large (250+),LARGE_GE250,EE,2024,Lack of expertise,E_AI_BLE,83.3,62.9,20.5,0.3877,7.93,39.0,42.0,-3.0,-5.4
Large (250+),LARGE_GE250,EE,2024,Legal consequences unclear,E_AI_BLEG,38.9,38.2,0.7,-0.1717,-0.12,39.0,42.0,-3.0,-5.4
Large (250+),LARGE_GE250,EE,2024,AI not useful for us,E_AI_BNU,0.0,12.4,-12.4,0.3377,-4.18,39.0,42.0,-3.0,-5.4
Large (250+),LARGE_GE250,EL,2021,Privacy and data protection,E_AI_BCDP,49.6,41.5,8.1,-0.0912,-0.74,9.8,28.5,-18.6,-19.2
Large (250+),LARGE_GE250,EL,2021,Cost too high,E_AI_BCST,36.5,45.1,-8.6,-0.4143,3.54,9.8,28.5,-18.6,-19.2
Large (250+),LARGE_GE250,EL,2021,Data availability or quality,E_AI_BDDT,45.8,44.3,1.5,0.3716,0.55,9.8,28.5,-18.6,-19.2
Large (250+),LARGE_GE250,EL,2021,Incompatible with existing systems,E_AI_BINC,41.3,45.7,-4.4,0.0758,-0.33,9.8,28.5,-18.6,-19.2
Large (250+),LARGE_GE250,EL,2021,Lack of expertise,E_AI_BLE,61.2,62.9,-1.7,0.3877,-0.66,9.8,28.5,-18.6,-19.2
Large (250+),LARGE_GE250,EL,2021,Legal consequences unclear,E_AI_BLEG,34.1,38.2,-4.1,-0.1717,0.7,9.8,28.5,-18.6,-19.2
Large (250+),LARGE_GE250,EL,2021,AI not useful for us,E_AI_BNU,5.1,12.4,-7.3,0.3377,-2.46,9.8,28.5,-18.6,-19.2
Large (250+),LARGE_GE250,EL,2023,Privacy and data protection,E_AI_BCDP,29.8,41.5,-11.7,-0.0912,1.07,14.0,28.8,-14.8,-21.68
Large (250+),LARGE_GE250,EL,2023,Cost too high,E_AI_BCST,46.1,45.1,1.1,-0.4143,-0.44,14.0,28.8,-14.8,-21.68
Large (250+),LARGE_GE250,EL,2023,Data availability or quality,E_AI_BDDT,40.8,44.3,-3.6,0.3716,-1.32,14.0,28.8,-14.8,-21.68
Large (250+),LARGE_GE250,EL,2023,Incompatible with existing systems,E_AI_BINC,53.0,45.7,7.4,0.0758,0.56,14.0,28.8,-14.8,-21.68
Large (250+),LARGE_GE250,EL,2023,Lack of expertise,E_AI_BLE,78.0,62.9,15.2,0.3877,5.88,14.0,28.8,-14.8,-21.68
Large (250+),LARGE_GE250,EL,2023,Legal consequences unclear,E_AI_BLEG,34.2,38.2,-4.0,-0.1717,0.69,14.0,28.8,-14.8,-21.68
Large (250+),LARGE_GE250,EL,2023,AI not useful for us,E_AI_BNU,13.7,12.4,1.3,0.3377,0.44,14.0,28.8,-14.8,-21.68
Large (250+),LARGE_GE250,EL,2024,Privacy and data protection,E_AI_BCDP,57.7,41.5,16.2,-0.0912,-1.48,24.3,42.0,-17.8,-0.14
Large (250+),LARGE_GE250,EL,2024,Cost too high,E_AI_BCST,29.5,45.1,-15.6,-0.4143,6.46,24.3,42.0,-17.8,-0.14
Large (250+),LARGE_GE250,EL,2024,Data availability or quality,E_AI_BDDT,23.9,44.3,-20.4,0.3716,-7.58,24.3,42.0,-17.8,-0.14
Large (250+),LARGE_GE250,EL,2024,Incompatible with existing systems,E_AI_BINC,20.0,45.7,-25.6,0.0758,-1.94,24.3,42.0,-17.8,-0.14
Large (250+),LARGE_GE250,EL,2024,Lack of expertise,E_AI_BLE,41.9,62.9,-21.0,0.3877,-8.14,24.3,42.0,-17.8,-0.14
Large (250+),LARGE_GE250,EL,2024,Legal consequences unclear,E_AI_BLEG,55.8,38.2,17.6,-0.1717,-3.03,24.3,42.0,-17.8,-0.14
Large (250+),LARGE_GE250,EL,2024,AI not useful for us,E_AI_BNU,6.7,12.4,-5.6,0.3377,-1.9,24.3,42.0,-17.8,-0.14
Large (250+),LARGE_GE250,EL,2025,Privacy and data protection,E_AI_BCDP,58.1,41.5,16.6,-0.0912,-1.52,37.6,56.7,-19.1,-16.64
Large (250+),LARGE_GE250,EL,2025,Cost too high,E_AI_BCST,49.3,45.1,4.2,-0.4143,-1.75,37.6,56.7,-19.1,-16.64
Large (250+),LARGE_GE250,EL,2025,Data availability or quality,E_AI_BDDT,55.1,44.3,10.8,0.3716,4.0,37.6,56.7,-19.1,-16.64
Large (250+),LARGE_GE250,EL,2025,Incompatible with existing systems,E_AI_BINC,47.8,45.7,2.1,0.0758,0.16,37.6,56.7,-19.1,-16.64
Large (250+),LARGE_GE250,EL,2025,Lack of expertise,E_AI_BLE,63.2,62.9,0.3,0.3877,0.12,37.6,56.7,-19.1,-16.64
Large (250+),LARGE_GE250,EL,2025,Legal consequences unclear,E_AI_BLEG,53.9,38.2,15.7,-0.1717,-2.69,37.6,56.7,-19.1,-16.64
Large (250+),LARGE_GE250,EL,2025,AI not useful for us,E_AI_BNU,10.0,12.4,-2.4,0.3377,-0.82,37.6,56.7,-19.1,-16.64
Large (250+),LARGE_GE250,ES,2021,Privacy and data protection,E_AI_BCDP,18.9,41.5,-22.5,-0.0912,2.06,32.3,28.5,3.9,-3.78
Large (250+),LARGE_GE250,ES,2021,Cost too high,E_AI_BCST,49.4,45.1,4.3,-0.4143,-1.78,32.3,28.5,3.9,-3.78
Large (250+),LARGE_GE250,ES,2021,Data availability or quality,E_AI_BDDT,54.3,44.3,10.0,0.3716,3.72,32.3,28.5,3.9,-3.78
Large (250+),LARGE_GE250,ES,2021,Incompatible with existing systems,E_AI_BINC,37.2,45.7,-8.5,0.0758,-0.65,32.3,28.5,3.9,-3.78
Large (250+),LARGE_GE250,ES,2021,Lack of expertise,E_AI_BLE,71.0,62.9,8.1,0.3877,3.15,32.3,28.5,3.9,-3.78
Large (250+),LARGE_GE250,ES,2021,Legal consequences unclear,E_AI_BLEG,15.7,38.2,-22.5,-0.1717,3.86,32.3,28.5,3.9,-3.78
Large (250+),LARGE_GE250,ES,2021,AI not useful for us,E_AI_BNU,4.4,12.4,-8.0,0.3377,-2.7,32.3,28.5,3.9,-3.78
Large (250+),LARGE_GE250,ES,2023,Privacy and data protection,E_AI_BCDP,35.4,41.5,-6.1,-0.0912,0.56,39.7,28.8,10.9,9.46
Large (250+),LARGE_GE250,ES,2023,Cost too high,E_AI_BCST,57.3,45.1,12.2,-0.4143,-5.07,39.7,28.8,10.9,9.46
Large (250+),LARGE_GE250,ES,2023,Data availability or quality,E_AI_BDDT,47.5,44.3,3.2,0.3716,1.19,39.7,28.8,10.9,9.46
Large (250+),LARGE_GE250,ES,2023,Incompatible with existing systems,E_AI_BINC,40.2,45.7,-5.4,0.0758,-0.41,39.7,28.8,10.9,9.46
Large (250+),LARGE_GE250,ES,2023,Lack of expertise,E_AI_BLE,76.9,62.9,14.0,0.3877,5.44,39.7,28.8,10.9,9.46
Large (250+),LARGE_GE250,ES,2023,Legal consequences unclear,E_AI_BLEG,32.5,38.2,-5.7,-0.1717,0.97,39.7,28.8,10.9,9.46
Large (250+),LARGE_GE250,ES,2023,AI not useful for us,E_AI_BNU,8.7,12.4,-3.7,0.3377,-1.25,39.7,28.8,10.9,9.46
Large (250+),LARGE_GE250,ES,2024,Privacy and data protection,E_AI_BCDP,52.0,41.5,10.5,-0.0912,-0.96,44.0,42.0,1.9,-0.71
Large (250+),LARGE_GE250,ES,2024,Cost too high,E_AI_BCST,45.4,45.1,0.3,-0.4143,-0.12,44.0,42.0,1.9,-0.71
Large (250+),LARGE_GE250,ES,2024,Data availability or quality,E_AI_BDDT,49.6,44.3,5.3,0.3716,1.97,44.0,42.0,1.9,-0.71
Large (250+),LARGE_GE250,ES,2024,Incompatible with existing systems,E_AI_BINC,26.2,45.7,-19.5,0.0758,-1.48,44.0,42.0,1.9,-0.71
Large (250+),LARGE_GE250,ES,2024,Lack of expertise,E_AI_BLE,77.9,62.9,15.0,0.3877,5.82,44.0,42.0,1.9,-0.71
Large (250+),LARGE_GE250,ES,2024,Legal consequences unclear,E_AI_BLEG,48.0,38.2,9.8,-0.1717,-1.69,44.0,42.0,1.9,-0.71
Large (250+),LARGE_GE250,ES,2024,AI not useful for us,E_AI_BNU,9.7,12.4,-2.6,0.3377,-0.89,44.0,42.0,1.9,-0.71
