tier,tier_code,rank,barrier,barrier_full,barrier_code,share_pct,ci_low_pct,ci_high_pct,first_place_rate,direction,corr_with_adoption,exposure_eu27_pct,n_cells,n_countries,years,r2_years_only,r2_with_barriers,r2_adjusted,delta_r2,lead_share,stability_threshold,bootstrap_draws,tier_published,outcome_code,outcome_unit,exposure_unit,generated_utc
Medium (50-249),MEDIUM_50_249,4,Incompatible with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",E_AI_BINC,4.3,1.5,12.2,0.0,against adoption,-0.41,42.0,84,24,2021 2023 2024 2025,0.404,0.729,0.688,0.325,0.93,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Medium (50-249),MEDIUM_50_249,5,AI not useful for us,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",E_AI_BNU,2.8,0.5,9.7,0.0,against adoption,-0.25,13.8,84,24,2021 2023 2024 2025,0.404,0.729,0.688,0.325,0.93,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Medium (50-249),MEDIUM_50_249,6,Privacy and data protection,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",E_AI_BCDP,2.1,1.1,7.2,0.0,with adoption,0.4,52.3,84,24,2021 2023 2024 2025,0.404,0.729,0.688,0.325,0.93,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Medium (50-249),MEDIUM_50_249,7,Data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",E_AI_BDDT,2.0,0.9,9.7,0.0,with adoption,0.01,42.8,84,24,2021 2023 2024 2025,0.404,0.729,0.688,0.325,0.93,0.6,400,True,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Large (250+),LARGE_GE250,1,Cost too high,"Enterprises do not use AI technologies, because the costs seem too high",E_AI_BCST,34.9,9.7,53.5,0.47,against adoption,-0.49,34.8,80,23,2021 2023 2024 2025,0.422,0.687,0.637,0.266,0.47,0.6,400,False,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Large (250+),LARGE_GE250,2,Lack of expertise,"Enterprises do not use AI technologies, because of a lack of relevant expertise",E_AI_BLE,27.8,7.6,46.5,0.307,with adoption,0.43,65.1,80,23,2021 2023 2024 2025,0.422,0.687,0.637,0.266,0.47,0.6,400,False,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Large (250+),LARGE_GE250,3,Data availability or quality,"Enterprises do not use AI technologies, because of difficulties with availability or quality of the necessary data",E_AI_BDDT,22.5,4.2,41.1,0.198,with adoption,0.3,43.8,80,23,2021 2023 2024 2025,0.422,0.687,0.637,0.266,0.47,0.6,400,False,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Large (250+),LARGE_GE250,4,Legal consequences unclear,"Enterprises do not use AI technologies, because of a lack of clarity about the legal consequences",E_AI_BLEG,7.0,1.2,24.3,0.02,with adoption,0.29,51.2,80,23,2021 2023 2024 2025,0.422,0.687,0.637,0.266,0.47,0.6,400,False,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Large (250+),LARGE_GE250,5,Incompatible with existing systems,"Enterprises do not use AI technologies, because of incompatibility with existing equipment, software or systems",E_AI_BINC,3.0,1.6,10.0,0.0,against adoption,-0.25,38.0,80,23,2021 2023 2024 2025,0.422,0.687,0.637,0.266,0.47,0.6,400,False,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Large (250+),LARGE_GE250,6,AI not useful for us,"Enterprises do not use AI technologies, because artificial Intelligence technologies are not useful for Enterprise",E_AI_BNU,2.8,0.8,10.2,0.003,against adoption,-0.04,9.8,80,23,2021 2023 2024 2025,0.422,0.687,0.637,0.266,0.47,0.6,400,False,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
Large (250+),LARGE_GE250,7,Privacy and data protection,"Enterprises do not use AI technologies, because of concerns regarding violation of data protection and privacy",E_AI_BCDP,2.1,1.3,15.3,0.003,with adoption,0.44,58.8,80,23,2021 2023 2024 2025,0.422,0.687,0.637,0.266,0.47,0.6,400,False,E_AI_TANY,PC_ENT,PC_ENT_AI_EC,2026-09-02T21:53:51Z
